title,price,drivetrain,exterior_color,model,year,trim,fuel_consume(L/100km),region,province,battery_charge_time(hr),battery_range(km),body_type,mileage(km),front_legroom(mm),cargo_volume(L)
2023 Tesla Model 3 RWD,35800,Rear-Wheel Drive,Black,Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,25800,1085.0,648.0
2023 Tesla Model 3 Long Range AWD,47500,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,Long Range AWD,1.9,Port Moody,BC,11.5,576.0,Sedan,20169,1085.0,648.0
2021 Tesla Model Y Long Range AWD,39998,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Surrey,BC,10.0,509.0,SUV/ Crossover,107447,1062.0,1925.0
2021 Tesla Model 3 Standard Range Plus RWD,25880,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,104866,1085.0,424.0
2023 Tesla Model Y RWD,39695,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2023.0,RWD,1.945,Blainville,QC,9.4,418.0,SUV/ Crossover,38002,1064.0,971.0
2023 Tesla Model 3 Long Range AWD,46707,All-Wheel Drive,Silver,Model 3,2023.0,Long Range AWD,1.9,Surrey,BC,11.5,576.0,Sedan,27175,1085.0,648.0
2021 Tesla Model Y Long Range AWD,34880,All-Wheel Drive,Black,Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,125500,1062.0,1925.0
2021 Tesla Model 3 Standard Range Plus RWD,31995,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,430.0,Sedan,72441,1085.0,424.0
2021 Tesla Model Y Long Range AWD,35995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Long Range AWD,1.945,Toronto,ON,10.0,509.0,SUV/ Crossover,118150,1062.0,1925.0
2020 Tesla Model 3 Standard Range AWD,23990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,91600,1085.0,424.0
2022 Tesla Model S AWD,72990,All-Wheel Drive,Black,Model S,2022.0,AWD,2.3,Mississauga,ON,15.0,652.0,Sedan,53384,1077.0,798.0
2022 Tesla Model Y Performance AWD,49498,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Mississauga,ON,10.0,488.0,SUV/ Crossover,52500,1062.0,971.0
2020 Tesla Model 3 Standard Range AWD,21880,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,136962,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,27995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Lévis,QC,10.0,402.0,Sedan,74765,1085.0,424.0
2022 Tesla Model 3 RWD,33800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,St.-Hubert,QC,10.0,430.0,Sedan,24257,1085.0,648.0
2016 Tesla Model X 90D AWD,44995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2016.0,90D AWD,2.555,Ottawa,ON,12.0,414.0,SUV/ Crossover,64950,1046.0,736.0
2021 Tesla Model 3 Standard Range Plus RWD,31795,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Nanaimo,BC,10.0,430.0,Sedan,79181,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,23790,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,402.0,Sedan,111056,1085.0,424.0
2020 Tesla Model X Long Range AWD,69995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2020.0,Long Range AWD,2.445,Bradford,ON,12.0,528.0,SUV/ Crossover,71000,1046.0,543.0
2022 Tesla Model 3 RWD,28489,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Drummondville,QC,10.0,430.0,Sedan,109000,1085.0,648.0
2023 Tesla Model 3 RWD,34885,Rear-Wheel Drive,Black,Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,37800,1085.0,648.0
2021 Tesla Model S Long Range Plus AWD,59999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2021.0,Long Range Plus AWD,1.945,Laval,QC,12.0,629.0,Sedan,52402,1085.0,744.0
2021 Tesla Model Y Long Range AWD,36980,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,113800,1063.0,971.0
2022 Tesla Model Y Long Range AWD,45898,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Long Range AWD,1.945,Vaughan,ON,10.0,531.0,SUV/ Crossover,44573,1062.0,971.0
2020 Tesla Model 3 Standard Range AWD,24890,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,88690,1085.0,424.0
2021 Tesla Model 3 Performance AWD,38800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Performance AWD,2.09,Concord,ON,10.0,507.0,Sedan,73000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,48499,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Vancouver,BC,10.0,509.0,SUV/ Crossover,29213,1062.0,1925.0
2020 Tesla Model 3 Standard Range AWD,24890,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,77860,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,30800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,402.0,Sedan,64000,1085.0,424.0
2023 Tesla Model Y Performance AWD,54988,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Performance AWD,2.09,Toronto,ON,11.8,488.0,SUV/ Crossover,21270,1062.0,481.0
2018 Tesla Model X 100D AWD,61995,All-Wheel Drive,Black,Model X,2018.0,100D AWD,2.655,Abbotsford,BC,12.0,475.0,SUV/ Crossover,58000,1046.0,736.0
2022 Tesla Model 3 Long Range AWD,37888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Concord,ON,10.0,538.0,Sedan,55569,1085.0,648.0
2023 Tesla Model Y Performance AWD,51999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Performance AWD,2.09,L'Île-Perrot,QC,11.8,488.0,SUV/ Crossover,43076,1062.0,481.0
2020 Tesla Model 3 Long Range AWD,22488,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,Toronto,ON,10.0,518.0,Sedan,175200,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,29897,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range Plus RWD,1.9,Saint-Eustache,QC,10.0,402.0,Sedan,33265,1085.0,424.0
2023 Tesla Model 3 Long Range AWD,42995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,Long Range AWD,1.9,Mississauga,ON,11.5,576.0,Sedan,32696,1085.0,648.0
2016 Tesla Model X 90D AWD,47888,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2016.0,90D AWD,2.555,North York,ON,12.0,414.0,SUV/ Crossover,79000,1046.0,736.0
2023 Tesla Model Y Long Range AWD,55537,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2023.0,Long Range AWD,1.945,Surrey,BC,11.5,531.0,SUV/ Crossover,5803,1062.0,971.0
2021 Tesla Model Y Long Range AWD,45400,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Toronto,ON,10.0,509.0,SUV/ Crossover,33756,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,30880,All-Wheel Drive,Black,Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,81366,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,28998,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Abbotsford,BC,10.0,402.0,Sedan,94140,1085.0,424.0
2023 Tesla Model X AWD,97500,All-Wheel Drive,Red,Model X,2023.0,AWD,2.29,Sidney,BC,14.0,560.0,SUV/ Crossover,6000,1044.0,1231.0
2021 Tesla Model 3 Standard Range Plus RWD,21880,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,157866,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,25988,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Oakville,ON,10.0,386.0,Sedan,75000,1085.0,424.0
2023 Tesla Model 3 RWD,31995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,North York,ON,10.4,438.0,Sedan,67000,1085.0,648.0
2021 Tesla Model Y Standard Range RWD,41912,Rear-Wheel Drive,Silver,Model Y,2021.0,Standard Range RWD,1.945,Abbotsford,BC,10.0,393.0,SUV/ Crossover,55536,1062.0,1925.0
2021 Tesla Model 3 Standard Range Plus RWD,27888,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,North York,ON,10.0,430.0,Sedan,79000,1085.0,424.0
2016 Tesla Model X 75D AWD,39800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2016.0,75D AWD,2.555,Richmond,BC,12.0,383.0,SUV/ Crossover,122000,1046.0,736.0
2022 Tesla Model Y Long Range AWD,42990,All-Wheel Drive,Black,Model Y,2022.0,Long Range AWD,1.945,Calgary,AB,10.0,531.0,SUV/ Crossover,67786,1062.0,971.0
2022 Tesla Model 3 Long Range AWD,41499,All-Wheel Drive,Red,Model 3,2022.0,Long Range AWD,1.9,Laval,QC,10.0,538.0,Sedan,20236,1085.0,648.0
2021 Tesla Model 3 Performance AWD,41880,All-Wheel Drive,Black,Model 3,2021.0,Performance AWD,2.09,Concord,ON,10.0,507.0,Sedan,45600,1085.0,424.0
2019 Tesla Model 3 Long Range AWD,31800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Long Range AWD,2.045,Toronto,ON,10.0,499.0,Sedan,58000,1085.0,424.0
2023 Tesla Model S,86990,All-Wheel Drive,Black,Model S,2023.0,AWD,2.3,Mississauga,ON,12.0,435.0,Sedan,25741,1085.0,894.0
2016 Tesla Model X 75D AWD,37910,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2016.0,75D AWD,2.555,Woodbridge,ON,12.0,383.0,SUV/ Crossover,138376,1046.0,736.0
2023 Tesla Model 3 RWD,37500,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Mississauga,ON,10.4,438.0,Sedan,20964,1085.0,648.0
2023 Tesla Model 3 RWD,33295,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Saint-jerome,QC,10.4,438.0,Sedan,57931,1085.0,648.0
2020 Tesla Model 3 Performance AWD,41888,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Performance AWD,1.945,Coquitlam,BC,10.0,481.0,Sedan,71938,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,29800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Langley Twp,BC,10.0,402.0,Sedan,93250,1085.0,424.0
2022 Tesla Model 3 RWD,27989,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Saint-Basile-Le-Grand,QC,10.0,430.0,Sedan,101638,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,33888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Nanaimo,BC,10.0,402.0,Sedan,51177,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,20990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,153486,1085.0,424.0
2024 Tesla Model Y RWD,47995,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2024.0,RWD,1.945,Quebec,QC,9.4,418.0,SUV/ Crossover,12046,1062.0,971.0
2022 Tesla Model 3 RWD,34950,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,St.-Hubert,QC,10.0,430.0,Sedan,11929,1085.0,648.0
2022 Tesla Model 3 Performance AWD,44988,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Performance AWD,2.09,Mississauga,ON,10.0,507.0,Sedan,46422,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,31888,Rear-Wheel Drive,Red,Model 3,2020.0,Standard Range Plus RWD,1.9,Maple Ridge,BC,10.0,402.0,Sedan,67000,1085.0,424.0
2022 Tesla Model 3 RWD,37888,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Burnaby,BC,10.0,430.0,Sedan,28350,1085.0,648.0
2015 Tesla Model S P85D AWD,22888,All-Wheel Drive,Blue(/Deep Blue Metallic),Model S,2015.0,P85D AWD,2.3,Burlington,ON,12.0,407.0,Sedan,153501,1085.0,894.0
2020 Tesla Model Y Performance AWD,39999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2020.0,Performance AWD,1.99,Concord,ON,10.0,507.0,SUV/ Crossover,89785,1062.0,1925.0
2022 Tesla Model 3 RWD,36990,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Langley,BC,10.0,430.0,Sedan,37791,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,24890,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,79886,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,27900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond Hill,ON,10.0,402.0,Sedan,76512,1085.0,424.0
2022 Tesla Model Y Long Range AWD,43889,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Concord,ON,10.0,531.0,SUV/ Crossover,66800,1062.0,971.0
2022 Tesla Model Y Performance AWD,45886,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Concord,ON,10.0,488.0,SUV/ Crossover,84866,1062.0,971.0
2020 Tesla Model Y Long Range AWD,32995,All-Wheel Drive,Black,Model Y,2020.0,Long Range AWD,1.99,Saint-Sulpice,QC,10.0,509.0,SUV/ Crossover,137234,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,27990,All-Wheel Drive,Black,Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,116750,1085.0,424.0
2021 Tesla Model Y Long Range AWD,36980,All-Wheel Drive,Black,Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,110000,1062.0,1925.0
2018 Tesla Model 3 Long Range AWD,25995,All-Wheel Drive,Black,Model 3,2018.0,Long Range AWD,2.045,Montreal,QC,10.0,499.0,Sedan,98000,1085.0,424.0
2022 Tesla Model 3 RWD,31495,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,RWD,1.9,Mirabel,QC,10.0,430.0,Sedan,61999,1085.0,648.0
2023 Tesla Model 3 Long Range AWD,36999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,Long Range AWD,1.9,Maple,ON,11.5,576.0,Sedan,105050,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,26995,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Lévis,QC,10.0,402.0,Sedan,98458,1085.0,424.0
2020 Tesla Model Y Performance AWD,45000,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2020.0,Performance AWD,1.945,Vancouver,BC,10.0,507.0,SUV/ Crossover,74450,1062.0,1925.0
2022 Tesla Model Y Long Range AWD,43879,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Oakville,ON,10.0,531.0,SUV/ Crossover,63787,1062.0,971.0
2020 Tesla Model 3 Standard Range AWD,24890,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,80360,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,29933,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Victoria,BC,10.0,430.0,Sedan,100173,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,33995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Vernon,BC,10.0,402.0,Sedan,41051,1085.0,424.0
2021 Tesla Model Y Standard Range RWD,36800,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Standard Range RWD,1.945,Richmond,BC,10.0,393.0,SUV/ Crossover,93000,1062.0,1925.0
2019 Tesla Model 3 Standard Plus RWD,27997,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Coquitlam,BC,10.0,386.0,Sedan,110400,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,26480,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,65862,1085.0,424.0
2022 Tesla Model 3 RWD,36500,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Port Coquitlam,BC,10.0,430.0,Sedan,45000,1085.0,648.0
2022 Tesla Model Y Performance AWD,48499,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Performance AWD,2.09,Laval,QC,10.0,488.0,SUV/ Crossover,51505,1062.0,971.0
2022 Tesla Model S Plaid AWD,119000,All-Wheel Drive,Black,Model S,2022.0,Plaid AWD,2.045,Montreal,QC,15.0,637.0,Sedan,5500,1077.0,798.0
2022 Tesla Model 3 RWD,32995,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,Mirabel,QC,10.0,430.0,Sedan,43094,1085.0,648.0
2022 Tesla Model Y Long Range AWD,53500,All-Wheel Drive,Red,Model Y,2022.0,Long Range AWD,1.945,Coquitlam,BC,10.0,531.0,SUV/ Crossover,48000,1062.0,971.0
2023 Tesla Model 3 Long Range AWD,43507,All-Wheel Drive,Black,Model 3,2023.0,Long Range AWD,1.9,Quebec,QC,11.5,576.0,Sedan,24000,1085.0,648.0
2023 Tesla Model X,92871,unknown,Red,Model X,2023.0,unknown,2.555,Ottawa,ON,12.0,475.0,SUV/ Crossover,56000,1046.0,736.0
2020 Tesla Model 3 Long Range AWD,32490,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,65388,1085.0,424.0
2019 Tesla Model 3 Long Range AWD,29888,All-Wheel Drive,Black,Model 3,2019.0,Long Range AWD,2.045,Nobleton,ON,10.0,499.0,Sedan,78138,1085.0,424.0
2018 Tesla Model 3 Long Range RWD,28996,Rear-Wheel Drive,Silver,Model 3,2018.0,Long Range RWD,1.9,Abbotsford,BC,12.0,499.0,Sedan,108252,1085.0,424.0
2021 Tesla Model Y Long Range AWD,47999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Richmond,BC,10.0,509.0,SUV/ Crossover,35002,1062.0,1925.0
2021 Tesla Model Y Long Range AWD,47999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Toronto,ON,11.5,531.0,SUV/ Crossover,57073,1062.0,971.0
2020 Tesla Model 3 Performance AWD,43993,All-Wheel Drive,Red,Model 3,2020.0,Performance AWD,1.945,Abbotsford,BC,10.0,481.0,Sedan,37800,1085.0,424.0
2018 Tesla Model 3 Standard RWD,30409,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2018.0,Standard RWD,1.945,Coquitlam,BC,12.0,354.0,Sedan,72303,1085.0,424.0
2021 Tesla Model Y Long Range AWD,40910,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Long Range AWD,1.945,Woodbridge,ON,10.0,509.0,SUV/ Crossover,74058,1062.0,1925.0
2019 Tesla Model 3 Standard Plus RWD,25888,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Standard Plus RWD,1.9,Oakville,ON,10.0,386.0,Sedan,80000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,37771,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Quebec,QC,10.0,509.0,SUV/ Crossover,101988,1062.0,1925.0
2021 Tesla Model Y Long Range AWD,39995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Toronto,ON,10.0,509.0,SUV/ Crossover,87670,1062.0,1925.0
2023 Tesla Model 3 RWD,34990,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,40860,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,26800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,61500,1085.0,424.0
2022 Tesla Model 3 RWD,28489,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Saint-Basile-Le-Grand,QC,10.0,430.0,Sedan,98237,1085.0,648.0
2021 Tesla Model Y Long Range AWD,39880,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,85488,1062.0,1925.0
2023 Tesla Model Y Long Range AWD,48995,All-Wheel Drive,Black,Model Y,2023.0,Long Range AWD,1.945,Richmond,BC,11.5,531.0,SUV/ Crossover,71466,1062.0,971.0
2023 Tesla Model Y RWD,43495,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,RWD,1.945,Mirabel,QC,9.4,418.0,SUV/ Crossover,13348,1064.0,971.0
2022 Tesla Model Y Performance AWD,51995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Mississauga,ON,10.0,488.0,SUV/ Crossover,39983,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,32995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Abbotsford,BC,10.0,402.0,Sedan,58000,1085.0,424.0
2020 Tesla Model 3 Performance AWD,38093,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Performance AWD,1.9,Windsor,ON,10.0,481.0,Sedan,69072,1085.0,424.0
2022 Tesla Model 3 Performance AWD,46977,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Performance AWD,2.09,Montreal,QC,10.0,507.0,Sedan,23000,1085.0,648.0
2019 Tesla Model 3 Standard Plus RWD,23988,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Oakville,ON,10.0,386.0,Sedan,110000,1085.0,424.0
2018 Tesla Model 3 Long Range RWD,29900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2018.0,Long Range RWD,1.9,Richmond,BC,12.0,499.0,Sedan,104500,1085.0,424.0
2019 Tesla Model 3,30995,unknown,White(/Pearl White Multi-Coat),Model 3,2019.0,unknown,1.9,Coquitlam,BC,10.0,430.0,Sedan,58372,1085.0,424.0
2022 Tesla Model 3 RWD,30887,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Terrebonne,QC,10.0,430.0,Sedan,70393,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,31800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Langley Twp,BC,10.0,402.0,Sedan,73650,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,23888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,124550,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,30995,Rear-Wheel Drive,Silver,Model 3,2020.0,Standard Range Plus RWD,1.9,Quebec,QC,10.0,402.0,Sedan,45451,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,26999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Gatineau,QC,10.0,402.0,Sedan,99279,1085.0,424.0
2016 Tesla Model X 90D AWD,41999,All-Wheel Drive,Black,Model X,2016.0,90D AWD,2.555,Surrey,BC,12.0,414.0,SUV/ Crossover,153000,1046.0,736.0
2022 Tesla Model 3 Long Range AWD,37498,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Saint-Eustache,QC,10.0,538.0,Sedan,60090,1085.0,648.0
2020 Tesla Model S Long Range Plus AWD,56888,All-Wheel Drive,Black,Model S,2020.0,Long Range Plus AWD,1.99,Concord,ON,12.0,629.0,Sedan,48000,1085.0,744.0
2022 Tesla Model 3 RWD,34995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,RWD,1.9,Abbotsford,BC,10.0,430.0,Sedan,70414,1085.0,648.0
2023 Tesla Model Y Long Range AWD,53948,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Waterloo,ON,11.5,531.0,SUV/ Crossover,18039,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,28995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Lévis,QC,10.0,402.0,Sedan,77991,1085.0,424.0
2018 Tesla Model 3 Long Range RWD,27995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2018.0,Long Range RWD,1.9,Ottawa,ON,12.0,499.0,Sedan,109058,1085.0,424.0
2023 Tesla Model 3 RWD,33590,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Etobicoke,ON,10.4,438.0,Sedan,60121,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,29995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,43000,1085.0,424.0
